IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,FCC,,,7.9,138,C,25,158,,,,,192,,,
27,Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.4,212,C,25,346,,,,,,,,
27,Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,other,,,7,385,C,25,794,,,,,,,,
27,Al1 Co1 Fe1 Ni1,BCC,CAST,BCC,,,6.6,456,C,25,964,,,,,162,,,
27,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125,C,25,204,,,,,207,,,
27,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125,C,25,209,,,,,207,,,
27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,FCC,,,7.7,149,C,25,196,,,,,186,,,
27,Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,other,,,7.1,287,C,25,476,,,,,,,,
27,Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,other,,,6.6,570,C,25,1301,,,,,,,,
37,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,24,,8.2,,T,25,274,708,39,,,226,,,
37,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,FCC,36,,8.1,,T,25,282,694,44,,,222,,,
37,Co1 Cr1 Ni1,FCC,WROUGHT,FCC,41,,8.3,,T,25,300,860,60,,,231,,,
37,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,48,,8.2,,T,25,170,550,41,,,204,,,
37,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,28,,8.5,,T,25,211,513,31,,,207,,,
37,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,32,,8.4,,T,25,231,653,38,,,202,,,
37,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30,,8.1,,T,25,221,602,36,,,203,,,
46,Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec.,CAST,other,175,,8.2,,T,25,318,622,19,,,,,,
46,Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec.,CAST,other,175,,8.2,,T,25,322,744,23,,,,,,
46,Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec.,CAST,other,175,,8.2,,T,25,403,807,9,,,,,,
46,Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec.,CAST,other,175,,8.2,,T,25,479,879,4,,,,,,
46,Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,CAST,other,175,,8.2,,T,25,638,1004,1,,,,,,
46,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,175,,8.2,,T,25,148,413,48,,,226,,,
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,110,,25,,,,,,213,,,
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,113,,25,,,,,,213,,,
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,131,,25,,,,,,207,,,
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,196,,25,,,,,,207,,,
54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.3,159,,25,,,,,,,,,
54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.3,209,,25,,,,,,,,,
54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7,388,,25,,,,,,,,,
54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7,280,,25,,,,,,,,,
54,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.9,538,,25,,,,,,188,,,
54,Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,6.9,361,,25,,,,,,,,,
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,487,,25,,,,,,177,,,
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,499,,25,,,,,,177,,,
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,484,,25,,,,,,171,,,
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,517,,25,,,,,,171,,,
54,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,509,,25,,,,,,160,,,
54,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,512,,25,,,,,,160,,,
54,Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.7,484,,25,,,,,,184,,,
54,Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,6.7,433,,25,,,,,,,,,
54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,116,,25,,,,,,226,,,
54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,113,,25,,,,,,226,,,
63,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,other,,,7.7,425,,25,,,,,,,,,
63,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,CAST,other,,,6.6,655,,25,,,,,,,,,
63,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,BCC+B2,CAST,other,,,6.3,605,,25,,,,,,,,,
63,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,715,,25,,,,,,,,,
63,Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,other,,,8.5,210,,25,,,,,,,,,
66,Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,,,6.6,,C,25,,1600,,10,107,,,,
66,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,BCC+BCC,CAST,other,,,5.9,,C,25,,2110,,10,133,,,,
66,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,BCC+BCC,CAST,other,,,5.6,643,C,25,,1030,,5,94,,,,
66,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,0.15,,6.2,,C,25,,2280,,6,148,,,,
66,Co1 Cr1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,7.2,,C,25,,2020,,9,135,195,,,
1,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.2,717,,25,,,,,,,,,
1,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,FCC,,,7.6,487,,25,,,,,,201,,,
1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.4,654,,25,,,,,,,,,
1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,other,,,7.8,509,,25,,,,,,,,,
2,Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,624,C,25,2033,2635,8,,,,,,
3,Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,,other,,,6.9,,,25,,,,,,,,,
4,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,BCC,,,6.2,402,,25,,,,,,171,,,
4,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,,,5.6,487,,25,,,,,,152,,,
4,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,5.9,432,,25,,,,,,160,,,
4,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,BCC,,,5.3,506,,25,,,,,,145,,,
4,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,395,,25,,,,,,184,,,
4,Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,6.8,342,,25,,,,,,,,,
4,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,286,,25,,,,,,206,,,
4,Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,8.1,296,,25,,,,,,,,,
4,Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,FCC,,,8.7,263,,25,,,,,,236,,,
5,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1251,2004,,33,,184,,,
6,Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.7,,C,25,957,2550,,11,213,,,,
6,Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.6,,C,25,906,2386,,9,151,,,,
6,Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.5,,C,25,867,2178,,8,137,,,,
6,Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.5,,C,25,1056,2375,,7,156,,,,
6,Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.4,,C,25,1060,2250,,6,181,,,,
6,Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,CAST,other,,,5.9,,C,25,1255,2083,,6,73,,,,
6,Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.2,,C,25,1251,2166,,7,75,,,,
6,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1138,,,11,,184,,,
7,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,BCC,,,6.8,,C,25,1804,2280,,9,,188,,,
7,Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,CAST,other,,,6.9,,C,25,2456,2953,,3,,,,,
7,Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,CAST,other,,,7,,C,25,2649,3208,,3,,,,,
7,Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,other,,,7,,C,25,2670,3161,,3,,,,,
7,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,,C,25,2757,3036,,3,,,,,
7,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1051,,,,,184,,,
8,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,BCC,,,6.8,569,C,25,1641,3285,,17,,182,,,
8,Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,CAST,other,,,6.8,668,C,25,1959,3008,,11,,,,,
8,Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,CAST,other,,,7,747,C,25,2473,3170,,4,,,,,
8,Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec.,CAST,other,,,7,,,25,,,,,,,,,
8,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,520,C,25,1373,3531,,25,,184,,,
9,Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.3,270,,25,,,,,,,,,
9,Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7,801,,25,,,,,,,,,
9,Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,,,7.2,741,,25,,,,,,,,,
9,Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,CAST,other,200,,7.3,586,,25,,,,,,,,,
9,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,796,,25,,,,,,,,,
10,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,755,,25,,,,,,,,,
10,Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,754,,25,,,,,,,,,
10,Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec.,CAST,other,,,7.2,635,,25,,,,,,,,,
10,Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec.,CAST,other,,,7.2,639,,25,,,,,,,,,
11,Al1 Co1 Cr1 Fe1 Mo0.5,B2+Sec.,CAST,other,,,6.8,857,,25,,,,,,,,,
11,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,730,,25,,,,,,,,,
11,Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,B2+Sec.,CAST,other,,,7,708,,25,,,,,,,,,
11,Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,FCC+B2+Sec.,CAST,other,,,7.2,586,,25,,,,,,,,,
11,Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,FCC+B2+Sec.,CAST,other,,,7.3,395,,25,,,,,,,,,
12,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25,1110,,,,,184,,,
12,Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,CAST,other,,,5.7,,C,25,2411,2950,,1,,,,,
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,CAST,BCC,,,6.5,,C,25,1265,2173,,14,,176,,,
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,BCC,,,6.2,,C,25,1481,2444,,13,,169,,,
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,BCC,,,6,,C,25,1834,2195,,3,,162,,,
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,other,,,5.8,,C,25,2179,2664,,2,,,,,
13,Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.4,,,25,,,,,,192,,,
13,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.5,,C,25,750,1970,,39,103,189,,,
13,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,other,,,7.1,,C,25,1580,2389,,17,161,,,,
