iron_alloy_name,"Elastic (Young's, Tensile) Modulus (psi)",Elongation at Break (%),Shear Modulus (psi),Tensile Strength: Ultimate (UTS) (psi),Tensile Strength: Yield (Proof) (psi),Compressive (Crushing) Strength (psi),Fracture Toughness (MPa·m^0.5),Shear Strength (psi),Impact Strength: V-Notched Charpy (lb),Fatigue Strength (psi),Reduction in Area (%),Latent Heat of Fusion (J/g),Melting Completion (Liquidus) (F),Melting Onset (Solidus) (F),Specific Heat Capacity (F),Thermal Conductivity (F),Thermal Expansion (K),Maximum Temperature: Mechanical (F),Maximum Temperature: Corrosion (F),Curie Temperature (F),Base Metal Price (relative),Embodied Carbon (material),Embodied Energy (BTU/lb),Embodied Water (gal/lb),Calomel Potential (mV),Stiffness to Weight: Axial (points),Stiffness to Weight: Bending (points),Strength to Weight: Axial (points),Strength to Weight: Bending (points),Thermal Diffusivity (/s),Thermal Shock Resistance (points),Brinell Hardness min,Brinell Hardness max,Poisson's Ratio min,Poisson's Ratio max,Rockwell C Hardness min,Rockwell C Hardness max,Rockwell B Hardness min,Rockwell B Hardness max,Density min,Density max,Resilience: Ultimate (Unit Rupture Work) min,Resilience: Ultimate (Unit Rupture Work) max,Resilience: Unit (Modulus of Resilience) min,Resilience: Unit (Modulus of Resilience) max,PREN (Pitting Resistance) min,PREN (Pitting Resistance) max,Iron (Fe)Fe min,Iron (Fe)Fe max,Carbon (C)C min,Carbon (C)C max,Silicon (Si)Si min,Silicon (Si)Si max,Manganese (Mn)Mn min,Manganese (Mn)Mn max,Phosphorus (P)P min,Phosphorus (P)P max,Sulfur (S)S min,Sulfur (S)S max,Chromium (Cr)Cr min,Chromium (Cr)Cr max,Molybdenum (Mo)Mo min,Molybdenum (Mo)Mo max,Nickel (Ni)Ni min,Nickel (Ni)Ni max,Copper (Cu)Cu min,Copper (Cu)Cu max,Vanadium (V)V min,Vanadium (V)V max,Aluminum (Al)Al min,Aluminum (Al)Al max,Magnesium (Mg)Mg min,Magnesium (Mg)Mg max,Selenium (Se)Se min,Selenium (Se)Se max,Tin (Sn)Sn min,Tin (Sn)Sn max,Arsenic (As)As min,Arsenic (As)As max,Residualsres. min,Residualsres. max,Titanium (Ti)Ti min,Titanium (Ti)Ti max,Zirconium (Zr)Zr min,Zirconium (Zr)Zr max,Niobium (Nb)Nb min,Niobium (Nb)Nb max,Nitrogen (N)N min,Nitrogen (N)N max,Cobalt (Co)Co min,Cobalt (Co)Co max,Tungsten (W)W min,Tungsten (W)W max,Calcium (Ca)Ca min,Calcium (Ca)Ca max,Boron (B)B min,Boron (B)B max,Oxygen (O)O min,Oxygen (O)O max,Tantalum (Ta)Ta min,Tantalum (Ta)Ta max,Cerium (Ce)Ce min,Cerium (Ce)Ce max,Lanthanum (La)La min,Lanthanum (La)La max,Zinc (Zn)Zn min,Zinc (Zn)Zn max,Lead (Pb)Pb min,Lead (Pb)Pb max
SAE-ASTM Grade G2500 (F10005) Grey Cast Iron,180,14,69,190,120,,,,,,,270,1390,1350,490,42,14,,,,1.9,1.5,21,44,,13,25,6.9,9.6,11,5.5,200,200,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,23MJ/m3,23MJ/m3,42kJ/m3,42kJ/m3,,,92.9,94.2,3.2,3.5,2.0,2.4,0.6,0.9,0,0.2,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAE-ASTM Grade G2500a (F10009) Grey Cast Iron,180,14,69,190,120,,,,,,,270,1390,1350,490,41,14,,,,1.9,1.5,21,44,,13,25,6.9,9.6,11,5.5,200,200,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,22MJ/m3,22MJ/m3,42kJ/m3,42kJ/m3,,,92.9,94.4,3.4,3.7,1.6,2.1,0.6,0.9,0,0.15,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAE-ASTM Grade G3000 (F10006) Grey Cast Iron,180,9.6,70,220,150,,,,,,,270,1390,1350,490,41,12,,,,1.9,1.5,21,44,,13,25,8.1,11,11,7.3,210,210,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,19MJ/m3,19MJ/m3,65kJ/m3,65kJ/m3,,,93.1,94.4,3.1,3.4,1.9,2.3,0.6,0.9,0,0.15,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAE-ASTM Grade G4000d (F10012) Grey Cast Iron,180,9.6,70,290,180,,,,,,,280,1390,1350,490,42,14,,,,3.0,1.7,24,51,,13,25,11,13,11,8.6,280,280,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,25MJ/m3,25MJ/m3,89kJ/m3,89kJ/m3,2.7,2.7,90.6,93.1,3.1,3.6,2.0,2.4,0.6,0.9,0,0.1,0,0.15,0.85,1.3,0.4,0.6,0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASTM A897 Grade 1 (ASTM 130-90-09 or 900-650-09, ISO 900-8) Cast Iron",180,10,69,1010,740,,,,,,,280,1380,1340,490,42,13,,,,2.9,1.8,25,48,,13,25,37,30,11,30,310,310,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,93MJ/m3,93MJ/m3,1540kJ/m3,1540kJ/m3,,,89.6,94,3.4,3.8,2.3,2.7,0.3,0.4,0,0.040,0,0.020,0,0.1,0,0.3,0,2.0,0,0.8,0,0.1,0,0.050,0,0.040,0,0.030,0,0.020,0,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM Grade 110-70-11 or 750-500-11 Cast Iron,180,13,69,860,560,,,,,,,280,1380,1340,490,42,13,,,,2.9,1.8,25,48,,13,25,32,27,11,25,270,270,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,95MJ/m3,95MJ/m3,880kJ/m3,880kJ/m3,,,89.6,94,3.4,3.8,2.3,2.7,0.3,0.4,0,0.040,0,0.020,0,0.1,0,0.3,0,2.0,0,0.8,0,0.1,0,0.050,0,0.040,0,0.030,0,0.020,0,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A897 Grade 5 (ASTM 230-185-01 or 1600-1300-01) Cast Iron,180,1.1,69,1800,1460,,,,,,,280,1380,1340,490,42,13,,,,2.9,1.8,25,48,,13,25,66,44,11,53,490,490,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,19MJ/m3,19MJ/m3,,,,,89.6,94,3.4,3.8,2.3,2.7,0.3,0.4,0,0.040,0,0.020,0,0.1,0,0.3,0,2.0,0,0.8,0,0.1,0,0.050,0,0.040,0,0.030,0,0.020,0,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASTM A897 Grade 4 (ASTM 200-155-1 or 1400-1100-02, ISO 1400-1, EN-JS 1130) Cast Iron",180,1.7,62,1530,1190,2200,50,1260,,,,280,1380,1340,490,42,13,,,,2.9,1.8,25,48,,13,25,57,39,11,45,430,430,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,24MJ/m3,24MJ/m3,3970kJ/m3,3970kJ/m3,,,89.6,94,3.4,3.8,2.3,2.7,0.3,0.4,0,0.040,0,0.020,0,0.1,0,0.3,0,2.0,0,0.8,0,0.1,0,0.050,0,0.040,0,0.030,0,0.020,0,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASTM A897 Grade 3 (ASTM 175-125-4 or 1200-850-04, ISO 1200-3, EN-JS 1120) Cast Iron",180,4.2,63,1320,940,1900,54,1080,,,,280,1380,1340,490,42,13,,,,2.9,1.8,25,48,,13,25,49,36,11,39,390,390,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,51MJ/m3,51MJ/m3,2470kJ/m3,2470kJ/m3,,,89.6,94,3.4,3.8,2.3,2.7,0.3,0.4,0,0.040,0,0.020,0,0.1,0,0.3,0,2.0,0,0.8,0,0.1,0,0.050,0,0.040,0,0.030,0,0.020,0,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAE-ASTM Grade G1800 (F10004) Grey Cast Iron,180,14,69,140,94,,,,,,,280,1380,1340,490,43,13,,,,1.9,1.5,21,44,,13,25,5.2,8.0,12,4.2,160,160,0.29,0.29,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,18MJ/m3,18MJ/m3,25kJ/m3,25kJ/m3,,,92.3,93.8,3.4,3.7,2.3,2.8,0.5,0.8,0,0.25,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
