li,re,n,ta,zr,ce,hf,id,mo,p,y,zn,ag,cu,mg,pb,ga,sn,ti,o,s,b,co,v,sc,ca,nb,al,mn,se,cr,la,pd,nd,w,as,fe,ni,si,c,yield strength,tensile strength,elongation,source
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,15.0,0.01,0.0,0.0,0.01,0.15,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.05,0.02,2411.5,2473.5,7.0,matminer
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.46,0.46,0.0,0.0,0.01,0.04,0.01,0.0,13.44,0.0,0.0,0.0,2.35,0.0,0.0,0.01,0.01,0.18,1123.1,1929.2,8.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,13.9,0.01,0.0,0.0,0.01,0.39,0.01,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.01,0.0,1736.3,1871.8,,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,15.0,0.01,0.0,0.0,0.01,0.13,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.05,0.01,2487.3,2514.9,9.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,14.9,0.01,0.0,0.0,0.01,0.13,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.05,0.01,2249.6,2315.0,8.5,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.01,0.0,0.0,0.01,0.03,0.02,0.0,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.49,0.19,1328.3,1779.5,19.7,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,13.0,0.01,0.0,0.0,0.01,0.11,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.05,0.0,2501.1,2570.0,3.7,matminer
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.01,0.0,0.0,0.01,0.03,0.57,0.0,12.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,0.1,1228.9,1795.6,2.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,11.8,0.01,0.0,0.0,0.01,0.03,0.01,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.99,0.01,1088.6,1419.3,10.0,matminer
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.48,0.0,0.0,0.01,0.04,0.01,0.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1502.0,2008.4,11.5,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,13.0,0.01,0.0,0.0,0.01,0.08,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.05,0.01,2411.5,2475.8,7.7,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,13.0,0.01,0.0,0.0,0.01,0.1,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.05,0.0,2331.1,2397.7,9.3,matminer
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.4,0.0,0.0,0.01,0.04,0.01,0.0,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1274.7,1949.9,12.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,12.0,0.5,0.0,0.0,0.01,0.02,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.05,0.0,2402.3,2468.9,8.3,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.41,0.0,0.0,0.01,0.04,0.01,0.0,14.24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1460.7,2197.9,4.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.01,0.0,0.0,0.08,0.03,0.01,0.0,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.01,0.2,1243.4,1792.3,20.8,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,12.3,0.69,0.0,0.0,0.01,0.16,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.05,0.02,2381.6,2436.8,9.7,matminer
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41,0.41,0.0,0.0,0.01,0.04,0.01,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.67,0.16,1412.5,2129.0,4.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,14.8,0.01,0.0,0.0,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.01,0.01,1603.3,1751.6,10.3,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,10.5,0.01,0.0,0.0,0.01,0.03,0.01,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.93,0.01,1185.1,1453.8,18.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,11.5,0.01,0.0,0.0,0.01,0.62,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.05,0.01,2510.3,2570.0,7.7,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,12.2,0.01,0.0,0.0,0.01,0.23,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.05,0.01,2372.4,2441.3,8.7,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41,0.41,0.0,0.0,0.01,0.03,0.01,0.0,15.54,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.07,1312.6,2011.9,11.5,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41,0.41,0.0,0.0,0.01,0.05,0.56,0.0,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1350.4,2039.4,12.0,matminer
